id|tags.service|tags.application|tags.component|tags.environment_name|tags.description
/subscriptions/1d95dcda-65b2-4273-81df-eb979c6b547b/resourceGroups/azureconsupmtion/providers/Microsoft.Compute/disks/LSPDL0070-DISK21|NOMIS|NOMIS|data|lsast|C-NOMIS and NDH Oracle DB (CNOM,NDH,TRDAT,CNMTRN)
/subscriptions/1d95dcda-65b2-4273-81df-eb979c6b547b/resourceGroups/azureconsupmtion/providers/Microsoft.Compute/disks/LSPDL0071-DISK21|NOMIS|MIS|data|lsast|MIS Oracle DB (MIS)
/subscriptions/1d95dcda-65b2-4273-81df-eb979c6b547b/resourceGroups/azureconsupmtion/providers/Microsoft.Compute/disks/PPPDL00016-DISK22|NOMIS|NOMIS|data|preprod|C-NOMIS and NDH Oracle DB (CNOM,NDH,TRDAT)
/subscriptions/1d95dcda-65b2-4273-81df-eb979c6b547b/resourceGroups/azureconsupmtion/providers/Microsoft.Compute/disks/PPPDL00017-DISK21|NOMIS|MIS|data|preprod|MIS and Audit Oracle DB (MIS,CNMAUD)
/subscriptions/1d95dcda-65b2-4273-81df-eb979c6b547b/resourceGroups/DR-OASys/providers/Microsoft.Compute/availabilitySets/DRODLOASOD-as|OASys|OASys|data|DR|OASys Oracle DBMS
/subscriptions/1d95dcda-65b2-4273-81df-eb979c6b547b/resourceGroups/DR-OASys/providers/Microsoft.Compute/availabilitySets/DROMLOABIP-as|OASys|OASys|mid|DR|OASys BI Publisher
/subscriptions/1d95dcda-65b2-4273-81df-eb979c6b547b/resourceGroups/DR-OASys/providers/Microsoft.Compute/availabilitySets/DROWLOASHA1-as|OASys|OASys|ha|DR|OASys HA Proxy Node1
/subscriptions/1d95dcda-65b2-4273-81df-eb979c6b547b/resourceGroups/DR-OASys/providers/Microsoft.Compute/availabilitySets/DROWLOASHA2-as|OASys|ONR|ha|DR|ONR HA Proxy Node1
/subscriptions/1d95dcda-65b2-4273-81df-eb979c6b547b/resourceGroups/DR-OASys/providers/Microsoft.Compute/availabilitySets/DROWLOASWS-as|OASys|OASys|web|DR|OASys Web Server
/subscriptions/1d95dcda-65b2-4273-81df-eb979c6b547b/resourceGroups/DR-OASys/providers/Microsoft.Compute/disks/DRODL10007-ASM-DISK10|OASys|OASys|data|DR|OASys Oracle DBMS
/subscriptions/1d95dcda-65b2-4273-81df-eb979c6b547b/resourceGroups/DR-OASys/providers/Microsoft.Compute/disks/DRODL10007-DISK1|OASys|OASys|data|DR|OASys Oracle DBMS
/subscriptions/1d95dcda-65b2-4273-81df-eb979c6b547b/resourceGroups/DR-OASys/providers/Microsoft.Compute/disks/DRODL10007-DISK2|OASys|OASys|data|DR|OASys Oracle DBMS
/subscriptions/1d95dcda-65b2-4273-81df-eb979c6b547b/resourceGroups/DR-OASys/providers/Microsoft.Compute/disks/DRODL10007-DISK21|OASys|OASys|data|DR|OASys Oracle DBMS
/subscriptions/1d95dcda-65b2-4273-81df-eb979c6b547b/resourceGroups/DR-OASys/providers/Microsoft.Compute/disks/DRODL10007-DISK22|OASys|OASys|data|DR|OASys Oracle DBMS
